Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.131673	8.11243e-07	21371.8	162310
1/delta	0.0124986	7.30943e-09	21371.8	1.70993e+06
nu	0.0931951	5.45337e-08	159265	1.70895e+06
GCF_000568455_prokka	2.10436e-05	1.0672e-11	41.4949	1.97185e+06
GCF_001045995_prokka	4.46246e-05	2.26332e-11	87.9838	1.97164e+06
GCF_001444345_prokka	0.00207626	1.0632e-09	4054.61	1.95285e+06
GCF_001580495_prokka	0.00192115	9.90401e-10	3726.6	1.93977e+06
GCF_001611325_prokka	3.65154e-05	1.85239e-11	71.9813	1.97126e+06
GCF_001640885_prokka	4.4824e-05	2.27378e-11	88.3636	1.97134e+06
GCF_002088995_prokka	2.00545e-06	1.01676e-12	3.95553	1.97239e+06
GCF_002202095_prokka	3.3117e-06	1.67961e-12	6.52971	1.97171e+06
GCF_002850395_prokka	0.00015309	7.76403e-11	301.861	1.97179e+06
GCF_003073415_prokka	1.50582e-06	7.63449e-13	2.97006	1.97239e+06
GCF_003111745_prokka	4.65827e-05	2.3624e-11	91.8535	1.97184e+06
GCF_003194405_prokka	0.000104208	5.28558e-11	205.45	1.97154e+06
GCF_003354665_prokka	5.98179e-05	3.03454e-11	117.915	1.97123e+06
GCF_003354745_prokka	5.2381e-05	2.65871e-11	103.199	1.97017e+06
GCF_003425835_prokka	0.000106183	5.38607e-11	209.332	1.97143e+06
GCF_003609915_prokka	0.00192839	9.88946e-10	3760.27	1.94995e+06
GCF_003945425_prokka	4.45666e-05	2.26085e-11	87.851	1.97123e+06
GCF_003952625_prokka	6.75671e-05	3.42681e-11	133.223	1.97172e+06
GCF_004136235_prokka	8.93313e-05	4.53262e-11	176.059	1.97085e+06
GCF_004208595_prokka	8.1795e-05	4.14914e-11	161.248	1.97137e+06
GCF_005707015_prokka	2.35102e-05	1.19245e-11	46.3528	1.9716e+06
GCF_005707215_prokka	0.000100045	5.07538e-11	197.206	1.97118e+06
GCF_006364675_prokka	3.38195e-05	1.71577e-11	66.6615	1.9711e+06
GCF_007185035_prokka	7.86967e-05	3.99095e-11	155.18	1.97188e+06
GCF_007826355_prokka	0.00166245	8.55507e-10	3230.53	1.94323e+06
GCF_008329865_prokka	2.80003e-05	1.41985e-11	55.2182	1.97206e+06
GCF_008330045_prokka	3.61772e-05	1.83609e-11	71.2812	1.97034e+06
GCF_009176765_prokka	6.48411e-05	3.28887e-11	127.836	1.97153e+06
GCF_009650155_prokka	6.9138e-05	3.50735e-11	136.287	1.97123e+06
GCF_009739675_prokka	7.85732e-05	3.98615e-11	154.88	1.97116e+06
GCF_013307085_prokka	1.10018e-05	5.57791e-12	21.6997	1.97238e+06
GCF_014696535_prokka	6.39942e-05	3.24564e-11	126.177	1.9717e+06
GCF_015220695_prokka	3.00109e-05	1.52157e-11	59.1925	1.97237e+06
GCF_015732455_prokka	0.000184479	9.37711e-11	362.93	1.96733e+06
GCF_017161095_prokka	0.000126791	6.43417e-11	249.851	1.97058e+06
GCF_018093225_prokka	0.000132421	6.74285e-11	260.059	1.96388e+06
GCF_018399115_prokka	6.84568e-05	3.47373e-11	134.908	1.9707e+06
GCF_018409145_prokka	5.00757e-05	2.54027e-11	98.7128	1.97127e+06
GCF_019551375_prokka	6.13789e-05	3.11366e-11	120.995	1.97128e+06
GCF_019669165_prokka	2.55602e-05	1.29649e-11	50.3914	1.97148e+06
GCF_019738975_prokka	1.40028e-05	7.09945e-12	27.6188	1.97238e+06
GCF_020003145_prokka	1.70827e-05	8.6645e-12	33.6797	1.97157e+06
GCF_020097755_prokka	2.90204e-05	1.47206e-11	57.2112	1.97141e+06
GCF_020177155_prokka	0.000516028	2.63109e-10	1012.07	1.96127e+06
GCF_020386595_prokka	1.0074e-06	5.10753e-13	1.98699	1.97239e+06
GCF_020388095_prokka	1.00687e-06	5.10556e-13	1.98564	1.9721e+06
GCF_020388195_prokka	1.00933e-06	5.12055e-13	1.98953	1.97114e+06
GCF_020388335_prokka	8.18942e-05	4.1553e-11	161.4	1.97084e+06
GCF_020388655_prokka	0.000108187	5.4874e-11	213.298	1.97156e+06
GCF_020388925_prokka	0.000231535	1.18375e-10	452.869	1.95594e+06
GCF_020526105_prokka	0.000109705	5.56477e-11	216.276	1.97143e+06
GCF_020702135_prokka	7.27186e-05	3.68807e-11	143.381	1.97172e+06
GCF_020887215_prokka	8.27884e-05	4.19859e-11	163.243	1.97181e+06
GCF_020906975_prokka	0.000100221	5.09354e-11	197.197	1.96761e+06
GCF_022404635_prokka	8.86381e-05	4.49622e-11	174.74	1.97139e+06
GCF_022404715_prokka	4.21776e-05	2.14e-11	83.1286	1.97092e+06
GCF_022405355_prokka	2.1731e-05	1.10282e-11	42.8211	1.9705e+06
GCF_022405375_prokka	6.80515e-05	3.452e-11	134.154	1.97136e+06
GCF_022699285_prokka	0.000139235	7.06358e-11	274.456	1.97117e+06
GCF_023657575_prokka	3.77927e-06	1.91699e-12	7.4507	1.97147e+06
GCF_024296845_prokka	3.55607e-05	1.80348e-11	70.1179	1.97178e+06
GCF_024399355_prokka	2.74969e-05	1.39414e-11	54.2327	1.97232e+06
GCF_024741495_prokka	0.00234601	1.2138e-09	4534.32	1.93279e+06
GCF_024741555_prokka	0.00317767	1.64078e-09	6154.14	1.93668e+06
GCF_024741575_prokka	0.00225089	1.16302e-09	4356.36	1.93539e+06
GCF_024805795_prokka	9.33738e-05	4.73808e-11	184.013	1.97071e+06
GCF_025558945_prokka	8.60203e-05	4.36221e-11	169.627	1.97194e+06
GCF_025558965_prokka	0.00021794	1.10639e-10	429.303	1.96983e+06
GCF_025559565_prokka	0.00222205	1.14088e-09	4327.8	1.94766e+06
GCF_025559765_prokka	4.20233e-05	2.13076e-11	82.879	1.97222e+06
GCF_026547055_prokka	1.42475e-05	7.22777e-12	28.0849	1.97122e+06
GCF_026547095_prokka	2.00055e-05	1.01437e-11	39.4552	1.97221e+06
GCF_026625285_prokka	0.000111811	5.67068e-11	220.46	1.97173e+06
GCF_026625405_prokka	0.000129026	6.5462e-11	254.311	1.97101e+06
GCF_026625485_prokka	0.00175475	9.23352e-10	3334.76	1.90042e+06
GCF_026625545_prokka	3.86192e-05	1.95836e-11	76.1578	1.97202e+06
GCF_028596045_prokka	3.16983e-05	1.60742e-11	62.5089	1.972e+06
GCF_029204145_prokka	3.06449e-05	1.55393e-11	60.4346	1.97209e+06
