Node	Beg	End
GCF_000568455_prokka	785269	785310
GCF_000568455_prokka	1895562	1896117
GCF_001045995_prokka	1895034	1895595
GCF_001045995_prokka	1895748	1896024
GCF_001444345_prokka	111490	111636
GCF_001444345_prokka	157710	157836
GCF_001444345_prokka	233416	233451
GCF_001444345_prokka	293373	293392
GCF_001444345_prokka	298072	298163
GCF_001444345_prokka	378024	378045
GCF_001444345_prokka	442300	442598
GCF_001444345_prokka	443652	443730
GCF_001444345_prokka	450117	450168
GCF_001444345_prokka	452625	452739
GCF_001444345_prokka	453145	453171
GCF_001444345_prokka	564636	564669
GCF_001444345_prokka	577990	578023
GCF_001444345_prokka	578644	578770
GCF_001444345_prokka	650907	650925
GCF_001444345_prokka	673265	673344
GCF_001444345_prokka	735441	735495
GCF_001444345_prokka	738633	738654
GCF_001444345_prokka	783366	783396
GCF_001444345_prokka	812610	812685
GCF_001444345_prokka	890229	890271
GCF_001444345_prokka	911802	911876
GCF_001444345_prokka	1014951	1014975
GCF_001444345_prokka	1016748	1016835
GCF_001444345_prokka	1017681	1017757
GCF_001444345_prokka	1062966	1063065
GCF_001444345_prokka	1187136	1187151
GCF_001444345_prokka	1192728	1192764
GCF_001444345_prokka	1193136	1193223
GCF_001444345_prokka	1194618	1194654
GCF_001444345_prokka	1206147	1206210
GCF_001444345_prokka	1211330	1211526
GCF_001444345_prokka	1238826	1238857
GCF_001444345_prokka	1249137	1249250
GCF_001444345_prokka	1267102	1267275
GCF_001444345_prokka	1267516	1267859
GCF_001444345_prokka	1270617	1270749
GCF_001444345_prokka	1272231	1272285
GCF_001444345_prokka	1273062	1273069
GCF_001444345_prokka	1273389	1273539
GCF_001444345_prokka	1273674	1275102
GCF_001444345_prokka	1284060	1284186
GCF_001444345_prokka	1304406	1304514
GCF_001444345_prokka	1307814	1307910
GCF_001444345_prokka	1318380	1318557
GCF_001444345_prokka	1389675	1389957
GCF_001444345_prokka	1397760	1397961
GCF_001444345_prokka	1408500	1408818
GCF_001444345_prokka	1421727	1421739
GCF_001444345_prokka	1473813	1473843
GCF_001444345_prokka	1506305	1506370
GCF_001444345_prokka	1532355	1532383
GCF_001444345_prokka	1542678	1542690
GCF_001444345_prokka	1548171	1548216
GCF_001444345_prokka	1553547	1553634
GCF_001444345_prokka	1575514	1575540
GCF_001444345_prokka	1579773	1579938
GCF_001444345_prokka	1580613	1580739
GCF_001444345_prokka	1617543	1617573
GCF_001444345_prokka	1627443	1627452
GCF_001444345_prokka	1642962	1643016
GCF_001444345_prokka	1657845	1658029
GCF_001444345_prokka	1708794	1708914
GCF_001444345_prokka	1739363	1739487
GCF_001444345_prokka	1748173	1748214
GCF_001444345_prokka	1763097	1763115
GCF_001444345_prokka	1775517	1775560
GCF_001444345_prokka	1782112	1782433
GCF_001444345_prokka	1822582	1822632
GCF_001444345_prokka	1825551	1825704
GCF_001444345_prokka	1825830	1825887
GCF_001444345_prokka	1844253	1844371
GCF_001444345_prokka	1844503	1844778
GCF_001444345_prokka	1885404	1885527
GCF_001444345_prokka	1891161	1891168
GCF_001444345_prokka	1891311	1891393
GCF_001444345_prokka	1894671	1894701
GCF_001444345_prokka	1895077	1895367
GCF_001444345_prokka	1895737	1896030
GCF_001444345_prokka	1900577	1900590
GCF_001444345_prokka	1905396	1905603
GCF_001444345_prokka	1927605	1927740
GCF_001444345_prokka	1946175	1946250
GCF_001444345_prokka	1947150	1947284
GCF_001580495_prokka	88997	89194
GCF_001580495_prokka	162912	163155
GCF_001580495_prokka	173757	173835
GCF_001580495_prokka	188271	188286
GCF_001580495_prokka	199437	199530
GCF_001580495_prokka	205085	205341
GCF_001580495_prokka	296330	296367
GCF_001580495_prokka	400272	400497
GCF_001580495_prokka	425718	425743
GCF_001580495_prokka	434294	434415
GCF_001580495_prokka	441891	441918
GCF_001580495_prokka	442300	442572
GCF_001580495_prokka	458022	458055
GCF_001580495_prokka	482187	482201
GCF_001580495_prokka	495666	495741
GCF_001580495_prokka	502938	503016
GCF_001580495_prokka	525555	525612
GCF_001580495_prokka	530385	531126
GCF_001580495_prokka	548361	548382
GCF_001580495_prokka	634035	634086
GCF_001580495_prokka	662299	662328
GCF_001580495_prokka	694524	694542
GCF_001580495_prokka	706401	706704
GCF_001580495_prokka	727431	727608
GCF_001580495_prokka	833232	833304
GCF_001580495_prokka	847635	847734
GCF_001580495_prokka	861603	861627
GCF_001580495_prokka	861969	862083
GCF_001580495_prokka	869886	869931
GCF_001580495_prokka	870150	870411
GCF_001580495_prokka	876595	876627
GCF_001580495_prokka	878351	878400
GCF_001580495_prokka	898872	898903
GCF_001580495_prokka	899108	899187
GCF_001580495_prokka	902241	902286
GCF_001580495_prokka	918615	918635
GCF_001580495_prokka	937453	937500
